11:16:44 | PIX_RPA_MAIN | INFO | 🚀 Inicializando PIX RPA Process
11:16:44 | PIX_RPA_MAIN | INFO | ✓ Gestores principales inicializados
11:16:44 | PIX_RPA_MAIN | INFO | ✓ Gestores opcionales inicializados
11:16:44 | PIX_RPA_MAIN | INFO | 🚀 Iniciando proceso PIX RPA
11:16:44 | PIX_RPA_MAIN | INFO | 🔍 Validando entorno PIX RPA...
11:16:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: data/
11:16:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: reports/
11:16:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: logs/
11:16:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: evidencias/
11:16:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: config/
11:16:44 | PIX_RPA_MAIN | INFO |   ✓ Dependencias críticas verificadas
11:16:44 | PIX_RPA_MAIN | INFO | ✅ Validación de entorno completada
11:16:44 | PIX_RPA_MAIN | INFO | 🚀 PASO 1: Consumo de API pública
11:16:44 | PIX_RPA_MAIN | INFO | ✅ Productos obtenidos: 20
11:16:44 | PIX_RPA_MAIN | INFO | ☁️ Subida de JSON a OneDrive deshabilitada o no configurada.
11:16:44 | PIX_RPA_MAIN | INFO | 🚀 PASO 2: Almacenamiento en base de datos
11:16:44 | PIX_RPA_MAIN | INFO | ✅ Productos insertados en BD: 0
11:16:44 | PIX_RPA_MAIN | INFO | 🚀 PASO 3: Generación de reporte Excel
11:16:44 | PIX_RPA_MAIN | INFO | ✅ Reporte Excel generado: /home/camper/Descargas/-prueba-t-cnica-RPA--master/PRUEBA-RPA-main/reports/Reporte_2025-09-10.xlsx
11:16:44 | PIX_RPA_MAIN | INFO | 🚀 PASO 4: Subida a OneDrive
11:16:44 | PIX_RPA_MAIN | INFO | ☁️ OneDrive deshabilitado por configuración
11:16:44 | PIX_RPA_MAIN | INFO | 🚀 PASO 5: Automatización web (formulario)
11:16:44 | WDM | INFO | ====== WebDriver manager ======
11:16:44 | WDM | INFO | Get LATEST chromedriver version for google-chrome
11:16:45 | WDM | INFO | Get LATEST chromedriver version for google-chrome
11:16:45 | WDM | INFO | Driver [/home/camper/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver] found in cache
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5c30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5e40>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5ff0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e64d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e66e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e68f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6440>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6b60>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e69b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5720>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6140>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e60e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6e00>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5960>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5210>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e72b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e74c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e76d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e7b50>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e7340>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e79a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e72e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5a80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e7100>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6f20>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5f90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5ab0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5420>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5c90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6620>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/elements
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6440>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e7c70>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e7e80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6c80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6710>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6ce0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6200>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5f30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e6d70>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5a50>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e7010>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e5c30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/element
11:16:51 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ae6549e7a60>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/20083d64d97689eec20e79fd25c3cdbc/screenshot
