10:58:51 | PIX_RPA_MAIN | INFO | 🚀 Inicializando PIX RPA Process
10:58:51 | PIX_RPA_MAIN | INFO | ✓ Gestores principales inicializados
10:58:51 | PIX_RPA_MAIN | INFO | ✓ Gestores opcionales inicializados
10:58:51 | PIX_RPA_MAIN | INFO | 🔍 Validando entorno PIX RPA...
10:58:51 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: data/
10:58:51 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: reports/
10:58:51 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: logs/
10:58:51 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: evidencias/
10:58:51 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: config/
10:58:51 | PIX_RPA_MAIN | INFO |   ✓ Dependencias críticas verificadas
10:58:51 | PIX_RPA_MAIN | INFO | ✅ Validación de entorno completada
10:58:51 | PIX_RPA_MAIN | INFO | 🚀 PASO 1: Consumo de API pública
10:58:51 | PIX_RPA_MAIN | INFO | ✅ Productos obtenidos: 20
10:58:51 | PIX_RPA_MAIN | INFO | ☁️ Subida de JSON a OneDrive deshabilitada o no configurada.
10:58:51 | PIX_RPA_MAIN | INFO | 🚀 PASO 2: Almacenamiento en base de datos
10:58:51 | PIX_RPA_MAIN | INFO | ✅ Productos insertados en BD: 0
10:58:51 | PIX_RPA_MAIN | INFO | 🚀 PASO 3: Generación de reporte Excel
10:58:51 | PIX_RPA_MAIN | INFO | ✅ Reporte Excel generado: /home/camper/Descargas/-prueba-t-cnica-RPA--master/PRUEBA-RPA-main/reports/Reporte_2025-09-10.xlsx
10:58:51 | PIX_RPA_MAIN | INFO | 🚀 PASO 4: Subida a OneDrive
10:58:51 | PIX_RPA_MAIN | INFO | ☁️ OneDrive deshabilitado por configuración
10:58:51 | PIX_RPA_MAIN | INFO | 🚀 PASO 5: Automatización web (formulario)
10:58:51 | WDM | INFO | ====== WebDriver manager ======
10:58:51 | WDM | INFO | Get LATEST chromedriver version for google-chrome
10:58:51 | WDM | INFO | Get LATEST chromedriver version for google-chrome
10:58:52 | WDM | INFO | Driver [/home/camper/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver] found in cache
11:01:18 | PIX_RPA_MAIN | WARNING | ⚠️ No se pudo enviar el formulario web
11:01:18 | PIX_RPA_MAIN | INFO | 🚀 PASO 6: Registro de evidencias
11:01:18 | PIX_RPA_MAIN | INFO | ✅ Evidencias registradas en: /home/camper/Descargas/-prueba-t-cnica-RPA--master/PRUEBA-RPA-main/evidencias/evidencia_2025-09-10_11-01-18.json
11:01:18 | PIX_RPA_MAIN | INFO | ================================================================================
11:01:18 | PIX_RPA_MAIN | INFO | 🎉 PROCESO PIX RPA FINALIZADO
11:01:18 | PIX_RPA_MAIN | INFO | ⏱️  Tiempo total: 147.77 segundos
11:01:18 | PIX_RPA_MAIN | INFO | 📊 Productos procesados: 20
11:01:18 | PIX_RPA_MAIN | INFO | 📁 Archivos generados: 2
11:01:18 | PIX_RPA_MAIN | INFO | ✅ Pasos completados: 4/6
11:01:18 | PIX_RPA_MAIN | INFO | 📂 Archivos creados:
11:01:18 | PIX_RPA_MAIN | INFO |    • /home/camper/Descargas/-prueba-t-cnica-RPA--master/PRUEBA-RPA-main/data/raw/Productos_2025-09-10.json
11:01:18 | PIX_RPA_MAIN | INFO |    • /home/camper/Descargas/-prueba-t-cnica-RPA--master/PRUEBA-RPA-main/reports/Reporte_2025-09-10.xlsx
11:01:18 | PIX_RPA_MAIN | INFO | ================================================================================
