00:01:00 | PIX_RPA_MAIN | INFO | 🔍 Validando entorno PIX RPA...
00:01:00 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: data/
00:01:00 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: reports/
00:01:00 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: logs/
00:01:00 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: evidencias/
00:01:00 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: config/
00:01:00 | PIX_RPA_MAIN | INFO |   ✓ Dependencias críticas verificadas
00:01:00 | PIX_RPA_MAIN | INFO | 🚀 PASO 1: Consumo de API pública
00:01:01 | PIX_RPA_MAIN | INFO | 🚀 PASO 2: Almacenamiento en base de datos
00:01:01 | PIX_RPA_MAIN | INFO | Productos insertados en BD: 0
00:01:01 | PIX_RPA_MAIN | INFO | 🚀 PASO 3: Generación de reporte Excel
00:01:01 | PIX_RPA_MAIN | INFO | 🚀 PASO 4: Subida a OneDrive
00:01:01 | PIX_RPA_MAIN | WARNING | ⚠️ OneDrive no configurado o fallo de autenticación, se omite
00:01:01 | PIX_RPA_MAIN | INFO | 🚀 PASO 5: Automatización web (formulario)
00:01:01 | WDM | INFO | ====== WebDriver manager ======
00:01:02 | WDM | INFO | Get LATEST chromedriver version for google-chrome
00:01:02 | WDM | INFO | Get LATEST chromedriver version for google-chrome
00:01:03 | WDM | INFO | Get LATEST chromedriver version for google-chrome
00:01:04 | WDM | INFO | WebDriver version 139.0.7258.154 selected
00:01:04 | WDM | INFO | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/139.0.7258.154/win32/chromedriver-win32.zip
00:01:04 | WDM | INFO | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/139.0.7258.154/win32/chromedriver-win32.zip
00:01:04 | WDM | INFO | Driver downloading response is 200
00:01:05 | WDM | INFO | Get LATEST chromedriver version for google-chrome
00:01:05 | WDM | INFO | Driver has been saved in cache [C:\Users\User\.wdm\drivers\chromedriver\win64\139.0.7258.154]
00:01:23 | PIX_RPA_MAIN | ERROR | ❌ Error crítico en proceso: Error enviando formulario web
