11:24:44 | PIX_RPA_MAIN | INFO | 🚀 Inicializando PIX RPA Process
11:24:44 | PIX_RPA_MAIN | INFO | ✓ Gestores principales inicializados
11:24:44 | PIX_RPA_MAIN | INFO | ✓ Gestores opcionales inicializados
11:24:44 | PIX_RPA_MAIN | INFO | 🚀 Iniciando proceso PIX RPA
11:24:44 | PIX_RPA_MAIN | INFO | 🔍 Validando entorno PIX RPA...
11:24:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: data/
11:24:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: reports/
11:24:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: logs/
11:24:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: evidencias/
11:24:44 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: config/
11:24:44 | PIX_RPA_MAIN | INFO |   ✓ Dependencias críticas verificadas
11:24:44 | PIX_RPA_MAIN | INFO | ✅ Validación de entorno completada
11:24:44 | PIX_RPA_MAIN | INFO | 🚀 PASO 1: Consumo de API pública
11:24:45 | PIX_RPA_MAIN | INFO | ✅ Productos obtenidos: 20
11:24:45 | PIX_RPA_MAIN | INFO | ☁️ Subida de JSON a OneDrive deshabilitada o no configurada.
11:24:45 | PIX_RPA_MAIN | INFO | 🚀 PASO 2: Almacenamiento en base de datos
11:24:45 | PIX_RPA_MAIN | INFO | ✅ Productos insertados en BD: 0
11:24:45 | PIX_RPA_MAIN | INFO | 🚀 PASO 3: Generación de reporte Excel
11:24:45 | PIX_RPA_MAIN | INFO | ✅ Reporte Excel generado: /home/camper/Descargas/-prueba-t-cnica-RPA--master/PRUEBA-RPA-main/reports/Reporte_2025-09-10.xlsx
11:24:45 | PIX_RPA_MAIN | INFO | 🚀 PASO 4: Subida a OneDrive
11:24:45 | PIX_RPA_MAIN | INFO | ☁️ OneDrive deshabilitado por configuración
11:24:45 | PIX_RPA_MAIN | INFO | 🚀 PASO 5: Automatización web (formulario)
11:24:45 | WDM | INFO | ====== WebDriver manager ======
11:24:45 | WDM | INFO | Get LATEST chromedriver version for google-chrome
11:24:45 | WDM | INFO | Get LATEST chromedriver version for google-chrome
11:24:45 | WDM | INFO | Driver [/home/camper/.wdm/drivers/chromedriver/linux64/134.0.6998.165/chromedriver-linux64/THIRD_PARTY_NOTICES.chromedriver] found in cache
11:24:54 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7eb3844ead10>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/1886b31304adc1eef2629332e531db3b/element
11:24:54 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7eb3844e9de0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/1886b31304adc1eef2629332e531db3b/element
11:24:54 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7eb3844e9f90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/1886b31304adc1eef2629332e531db3b/element
11:24:54 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7eb3844ea470>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/1886b31304adc1eef2629332e531db3b/element
11:24:54 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7eb3844ea680>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/1886b31304adc1eef2629332e531db3b/element
11:24:54 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7eb3844ea890>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/1886b31304adc1eef2629332e531db3b/element
11:24:54 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7eb3844ea3e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/1886b31304adc1eef2629332e531db3b/element
