23:31:10 | PIX_RPA_MAIN | INFO | 🔍 Validando entorno PIX RPA...
23:31:10 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: data/
23:31:10 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: reports/
23:31:10 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: logs/
23:31:10 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: evidencias/
23:31:10 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: config/
23:31:10 | PIX_RPA_MAIN | INFO |   ✓ Dependencias críticas verificadas
23:31:10 | PIX_RPA_MAIN | INFO | 🚀 PASO 1: Consumo de API pública
23:31:11 | PIX_RPA_MAIN | INFO | 🚀 PASO 2: Almacenamiento en base de datos
23:31:11 | PIX_RPA_MAIN | INFO | Productos insertados en BD: 0
23:31:11 | PIX_RPA_MAIN | INFO | 🚀 PASO 3: Generación de reporte Excel
23:31:11 | PIX_RPA_MAIN | INFO | 🚀 PASO 4: Subida a OneDrive
23:31:11 | PIX_RPA_MAIN | WARNING | ⚠️ OneDrive no configurado o fallo de autenticación, se omite
23:31:11 | PIX_RPA_MAIN | INFO | 🚀 PASO 5: Automatización web (formulario)
23:31:11 | WDM | INFO | ====== WebDriver manager ======
23:31:12 | WDM | INFO | Get LATEST chromedriver version for google-chrome
23:31:12 | WDM | INFO | Get LATEST chromedriver version for google-chrome
23:31:12 | WDM | INFO | Driver [C:\Users\User\.wdm\drivers\chromedriver\win64\139.0.7258.154\chromedriver-win32/chromedriver.exe] found in cache
23:31:30 | PIX_RPA_MAIN | WARNING | Error en automatización web: Error enviando formulario web
23:31:30 | PIX_RPA_MAIN | INFO | 🚀 PASO 6: Registro de evidencias
23:31:30 | PIX_RPA_MAIN | INFO | ✅ Evidencias registradas en: c:\Users\User\Downloads\PRUEBA-RPA-main\PRUEBA-RPA-main\evidencias\evidencia_2025-09-08_23-31-30.json
23:31:30 | PIX_RPA_MAIN | INFO | ================================================================================
23:31:30 | PIX_RPA_MAIN | INFO | PROCESO PIX RPA FINALIZADO
23:31:30 | PIX_RPA_MAIN | INFO | Tiempo total: 19.78 seg
23:31:30 | PIX_RPA_MAIN | INFO | Productos procesados: 20
23:31:30 | PIX_RPA_MAIN | INFO | Archivos generados: ['c:\\Users\\User\\Downloads\\PRUEBA-RPA-main\\PRUEBA-RPA-main\\data\\raw\\Productos_2025-09-08.json', 'c:\\Users\\User\\Downloads\\PRUEBA-RPA-main\\PRUEBA-RPA-main\\reports\\Reporte_2025-09-08.xlsx']
23:31:30 | PIX_RPA_MAIN | INFO | ================================================================================
