01:33:01 | PIX_RPA_MAIN | INFO | 🔍 Validando entorno PIX RPA...
01:33:01 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: data/
01:33:01 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: reports/
01:33:01 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: logs/
01:33:01 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: evidencias/
01:33:01 | PIX_RPA_MAIN | INFO |   ✓ Directorio verificado: config/
01:33:01 | PIX_RPA_MAIN | INFO |   ✓ Dependencias críticas verificadas
01:33:01 | PIX_RPA_MAIN | INFO | 🚀 PASO 1: Consumo de API pública
01:33:02 | PIX_RPA_MAIN | INFO | 🚀 PASO 2: Almacenamiento en base de datos
01:33:02 | PIX_RPA_MAIN | INFO | Productos insertados en BD: 0
01:33:02 | PIX_RPA_MAIN | INFO | 🚀 PASO 3: Generación de reporte Excel
01:33:02 | PIX_RPA_MAIN | INFO | 🚀 PASO 4: Subida a OneDrive
01:33:02 | PIX_RPA_MAIN | INFO | ☁️ OneDrive deshabilitado por configuración, se omite
01:33:02 | PIX_RPA_MAIN | INFO | 🚀 PASO 5: Automatización web (formulario)
01:33:02 | WDM | INFO | ====== WebDriver manager ======
01:33:02 | WDM | INFO | Get LATEST chromedriver version for google-chrome
01:33:03 | WDM | INFO | Get LATEST chromedriver version for google-chrome
01:33:03 | WDM | INFO | Driver [C:\Users\User\.wdm\drivers\chromedriver\win64\139.0.7258.154\chromedriver-win32/chromedriver.exe] found in cache
01:33:19 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002C1817F6FD0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/5eaaf5998019996f17fa90395f9b5ace/element
01:33:23 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002C1817F7390>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/5eaaf5998019996f17fa90395f9b5ace/element
01:33:27 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002C1817CCC30>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/5eaaf5998019996f17fa90395f9b5ace/element
01:33:36 | urllib3.connectionpool | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002C1817FD250>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/5eaaf5998019996f17fa90395f9b5ace/element
01:33:40 | urllib3.connectionpool | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002C181776E00>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/5eaaf5998019996f17fa90395f9b5ace/element
01:33:44 | urllib3.connectionpool | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002C181777020>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/5eaaf5998019996f17fa90395f9b5ace/element
